Depth,GR,RHOB,Vel
1666.68,80.24,2.384,3119
1666.84,78.57,2.419,3179
1666.99,75.37,2.403,3210
1667.14,75.78,2.361,3205
1667.29,80.6,2.36,3189
1667.45,82.75,2.386,3164
1667.6,80.42,2.403,3119
1667.75,79.36,2.412,3085
1667.9,80.56,2.423,3051
1668.06,82.44,2.427,3032
1668.21,84.13,2.401,3042
1668.36,81.77,2.37,3051
1668.51,78.88,2.364,3065
1668.66,78.07,2.377,3089
1668.82,78.53,2.407,3109
1668.97,79.92,2.418,3118
1669.12,80.01,2.408,3104
1669.27,79.98,2.405,3089
1669.43,79.37,2.411,3084
1669.58,81.1,2.423,3079
1669.73,84.21,2.424,3079
1669.88,84.48,2.412,3079
1670.04,82.54,2.386,3074
1670.19,79.33,2.356,3069
1670.34,77.29,2.336,3079
1670.49,77.36,2.333,3079
1670.65,77.53,2.344,3065
1670.8,77.03,2.362,3046
1670.95,76.2,2.403,3036
1671.1,73.71,2.414,3098
1671.26,70.38,2.415,3203
1671.41,67.09,2.455,3449
1671.56,63.86,2.506,3633
1671.71,61.61,2.548,3555
1671.87,62.56,2.561,3437
1672.02,65.57,2.531,3272
1672.17,68.71,2.466,3107
1672.32,72.08,2.421,3040
1672.47,75.82,2.408,3003
1672.63,76.52,2.419,2999
1672.78,74.92,2.43,3031
1672.93,74.68,2.419,3045
1673.08,76.92,2.405,3050
1673.24,78.84,2.402,3045
1673.39,77.21,2.427,2972
1673.54,76.82,2.449,3049
1673.69,76.06,2.447,3064
1673.85,74.19,2.426,3012
1674,72.74,2.404,3146
1674.15,70.87,2.409,3054
1674.3,71.46,2.432,3151
1674.46,74.27,2.441,3166
1674.61,76.63,2.443,3126
1674.76,76.8,2.449,3121
1674.91,75.89,2.45,3107
1675.07,76.09,2.445,3082
1675.22,79.47,2.441,3063
1675.37,83.9,2.452,3049
1675.52,86.57,2.447,3058
1675.68,87.13,2.438,3087
1675.83,84.85,2.435,3131
1675.98,81.9,2.451,3126
1676.13,78.92,2.473,3106
1676.28,76.21,2.47,3106
1676.44,77.08,2.441,3106
1676.59,80.46,2.409,3106
1676.74,83.03,2.405,3116
1676.89,82.29,2.423,3126
1677.05,79.89,2.45,3145
1677.2,79.47,2.452,3160
1677.35,80.39,2.447,3176
